ScientificName,CommonName,Lmax,TL,Habitat,MeanCatch
Elops saurus,Ladyfish,82,3.95,Pelagic,426.4956897
Lutjanus synagris,Lane snapper,49,3.82,DemMed,2609.487069
Ocyurus chrysurus,Yellowtail snapper,85,3.99,DemMed,4433.237069
Boops boops,Bogue,30,3,DemMed,25123.53017
Sarpa salpa,Salema,42,2.01,DemMed,1348.232759
Rhomboplites aurorubens,Vermilion snapper,60,4.33,DemMed,306.862069
Makaira nigricans,Atlantic blue marlin,346,4.38,Pelagic,26336.22845
Makaira indica,Black marlin,367,4.46,Pelagic,3871.689655
Tetrapturus albidus,Atlantic white marlin,246,4.48,Pelagic,1210.762931
Tetrapturus pfluegeri,Longbill spearfish,205,4.28,Pelagic,112.7284483
Tetrapturus audax,Striped marlin,287,4.58,Pelagic,14297.02155
Megalops cyprinoides,Indo-Pacific tarpon,123,3.3,Pelagic,542.1077586
Albula vulpes,Bonefish,85,3.67,DemLg,313.2068966
Alepocephalus bairdii,Bairds smooth-head,100,3.44,DemLg,350.5043103
Coregonus albula,Vendace,37,3.02,Pelagic,1348.948276
Coregonus lavaretus,Common whitefish,49,3.08,DemMed,2277.271552
Salmo salar,Atlantic salmon,123,4.43,DemLg,8504.241379
Salmo trutta,Sea trout,89,3.16,Pelagic,657.4439655
Oncorhynchus mykiss,Rainbow trout,108,3.39,DemLg,83.98275862
Oncorhynchus gorbuscha,Pink salmon,62,4.19,DemMed,230900.9224
Oncorhynchus keta,Chum salmon,93,3.47,DemLg,186839.5345
Oncorhynchus masou,Cherry salmon,49,3.6,DemMed,1454.982759
Oncorhynchus nerka,Sockeye salmon,76,3.73,Pelagic,104600.8621
Oncorhynchus tshawytscha,Chinook salmon,121,4.4,DemLg,18915.07328
Oncorhynchus kisutch,Coho salmon,88,4.25,DemLg,31613.87931
Salvelinus alpinus,Charr,79,4.26,DemLg,70.15086207
Mallotus villosus,Capelin,16,3.15,Pelagic,1187333.504
Osmerus mordax,Atlantic rainbow smelt,29,3,Pelagic,1618.047414
Thaleichthys pacificus,Eulachon,25,3.24,Pelagic,555.8318966
Lampanyctodes hectoris,Hectors lanternfish,6,3.17,Pelagic,2905.806034
Harpadon nehereus,Bombay duck,33,4.2,DemMed,122158.2759
Lutjanus johnii,Johns snapper,97,4.18,DemMed,339.0689655
Lutjanus gibbus,Humpback red snapper,39.7,3.62,DemMed,77.5
Muraenesox cinereus,Daggertooth pike conger,180,4.07,DemLg,83650.11207
Conger orbignyanus,Argentine conger,82,3.98,DemLg,293.9267241
Conger conger,European conger,246,4.29,DemLg,12995.33621
Conger myriaster,Whitespotted conger,82,3.98,DemLg,9699.206897
Cololabis saira,Pacific saury,30,3.71,Pelagic,334303.7586
Hyporhamphus sajori,Japanese halfbeak,697,3.4,Pelagic,968.2284483
Salilota australis,Tadpole codling,41,3.33,DemMed,3738.521552
Gadus macrocephalus,Pacific cod,93,4.01,DemLg,235691.7586
Gadus ogac,Greenland cod,57,3.59,DemMed,1596.461207
Lota lota,Burbot,152,4.03,Demersal,309.2068966
Urophycis brasiliensis,Brazilian codling,33,3.79,DemMed,1764.646552
Urophycis chuss,Red hake,41,3.6,DemMed,12981.59052
Urophycis tenuis,White hake,98,4.2,DemLg,15161.78879
Eleginus navaga,Navaga,34,4.24,DemMed,2577.534483
Eleginus gracilis,Saffron cod,45,4.12,DemMed,24843.24138
Microgadus tomcod,Atlantic tomcod,31,3.05,DemMed,239.2068966
Theragra chalcogramma,Alaska pollock,75,3.45,DemLg,3138671.453
Boreogadus saida,Polar cod,33,3.1,DemMed,31790.5431
Micromesistius australis,Southern blue whiting,74,3.79,DemLg,79763.21552
Merluccius senegalensis,Senegalese hake,66,4.5,DemMed,17834.52155
Merluccius australis,Southern hake,103,4.45,DemLg,22772.07759
Merluccius bilinearis,Silver hake,62,4.26,DemMed,99617.16379
Merluccius gayi gayi,South Pacific hake,71,4.26,DemMed,124848.1078
Merluccius hubbsi,Argentine hake,78,4.08,DemLg,275790.6724
Merluccius productus,North Pacific hake,75,4.35,DemLg,154330.1897
Merluccius polli,Benguela hake,66,4.5,DemMed,2738.267241
Macruronus magellanicus,Patagonian grenadier,90,3.98,DemLg,94511.34052
Macrourus berglax,Onion-eye grenadier,82,3.62,DemLg,994.6206897
Coryphaenoides rupestris,Roundnose grenadier,82,3.54,Pelagic,18632.24569
Macroramphosus scolopax,Longspine snipefish,16,3.47,DemSm,3743.896552
Hoplostethus atlanticus,Orange roughy,57,3.98,Pelagic,21296.24569
Joturus pichardi,Bobo mullet,50,2.37,Pelagic,482.8534483
Menidia menidia,Atlantic silverside,12,3.18,Pelagic,149.0301724
Eleutheronema tetradactylum,Fourfinger threadfin,164,4.35,DemLg,4853.931034
Galeoides decadactylus,Lesser African threadfin,37,3.57,DemMed,8197.327586
Pentanemus quinquarius,Royal threadfin,29,3.56,DemMed,1186.090517
Centropomus undecimalis,Common snook,115,4.41,DemLg,3538.568966
Lates calcarifer,Barramundi,162,4.35,DemLg,26013.93103
Polyprion americanus,Wreckfish,172,3.83,DemLg,516.9655172
Polyprion oxygeneios,Hapuka,123,4.45,DemLg,1470.068966
Acanthistius brasilianus,Sea bass,49,4.01,DemMed,5163.827586
Paralabrax humeralis,Peruvian rock seabass,41,4.14,DemMed,3451.62069
Morone saxatilis,Striped sea-bass,164,4.34,DemLg,2686.810345
Priacanthus macracanthus,Red bigeye,29,3.8,DemSm,5724.206897
Synagrops japonicus,Japanese splitfin,35,3,DemMed,1530.275862
Centropristis striata,Black seabass,49,3.98,DemMed,2749.396552
Lopholatilus chamaeleonticeps,Great northern tilefish,102,3.45,DemLg,1354.594828
Lactarius lactarius,False trevally,33,3.97,Pelagic,7086.887931
Pomatomus saltator,Bluefish,98,4.5,Pelagic,26255.37931
Trachurus japonicus,Japanese jack mackerel,30,3.4,DemMed,265064.0345
Trachurus murphyi,Inca scad,57,3.49,Pelagic,1338275.556
Trachurus symmetricus,Pacific jack mackerel,66,3.56,Pelagic,18123.75
Trachurus lathami,Rough scad,33,3.99,DemMed,538.7543103
Trachurus trecae,Cunene horse mackerel,33,3.3,DemMed,109207.0776
Trachurus declivis,Greenback horse mackerel,45,3.61,DemMed,13212.91379
Decapterus russelli,Indian scad,37,3.69,Pelagic,72271.2069
Selene setapinnis,Atlantic moonfish,49,3.72,DemMed,1887.12931
Selene dorsalis,African moonfish,31,4.08,DemMed,2360.060345
Trachinotus carolinus,Florida pompano,52,3.5,DemMed,245.9568966
